Industry,Business Name,Category,Address,Council Area,Suburb,Google Maps,Website,Email,Phone,Latitude,Longitude,Permanently Closed,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Assistive Hearing Loop,Family-Friendly,LGBTQ+ Friendly (Likely),Sensory Sensitivity (Loud),Sensory Sensitivity (Quiet),Wheelchair Accessible (Likely),Wheelchair Accessible Entrance,Wheelchair Accessible Parking Lot,Wheelchair Accessible Restroom,Wheelchair Accessible Seating,Reviews Count,Total Score
Services,SilverChef - Commercial Kitchen Equipment,Equipment rental agency,"u2B/40 William Angliss Dr, Laverton North VIC 3032, Australia",Wyndham,Laverton North,https://www.google.com/maps/search/?api=1&query=SilverChef%20-%20Commercial%20Kitchen%20Equipment&query_place_id=ChIJpU3HQm2K1moRaC0KaPFJJgo,https://www.silverchef.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=laverton,,+61 1800 816 821,-37.8221338,144.7747645,False,8:30 AM to 4 PM,8:30 AM to 4 PM,8:30 AM to 4 PM,8:30 AM to 4 PM,8:30 AM to 4 PM,Closed,Closed,,,True,,,True,True,True,True,True,192.0,3.8
Lodging,BIG4 Mornington Peninsula Holiday Park - Frankston,Hotel,"Frankston Holiday Village, 2 Robinsons Rd, Frankston South VIC 3199, Australia",Frankston,Frankston South,https://www.google.com/maps/search/?api=1&query=BIG4%20Mornington%20Peninsula%20Holiday%20Park%20-%20Frankston&query_place_id=ChIJ3_JkRbQK1moRQ0mvFR5PtC8,https://www.big4.com.au/caravan-parks/vic/mornington-peninsula/mornington-peninsula-holiday-park,,+61 1800 623 491,-38.1744053,145.1412609,False,,,,,,,,,True,,,,True,True,True,True,,289.0,4.3
Food & drink,The Veera's Food Corner,Indian takeaway,"330 Hume Hwy, Craigieburn VIC 3064, Australia",Hume,Craigieburn,https://www.google.com/maps/search/?api=1&query=The%20Veera's%20Food%20Corner&query_place_id=ChIJtSnaZhRT1moR9h3AttgfK8A,https://www.instagram.com/veeramirchi/,,+61 448 768 697,-37.6139095,144.9475649,False,6 AM to 10 PM,6:10 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 to 10 PM,6 to 10 PM,Closed,,,,,,True,True,True,,,71.0,4.2
Shopping,Carpet Call Notting Hill Head Office,Flooring store,"65 Normanby Rd, Notting Hill VIC 3168, Australia",Monash,Notting Hill,https://www.google.com/maps/search/?api=1&query=Carpet%20Call%20Notting%20Hill%20Head%20Office&query_place_id=ChIJeXfjqrVq1moRJ_agZPj_oNg,https://www.carpetcall.com.au/find-a-store/vic/notting-hill/?utm_source=google&utm_medium=organic_search&utm_campaign=gmb&utm_term=notting_hill&utm_content=website,,+61 3 9913 0398,-37.9051801,145.134778,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,26.0,3.1
Education,Ashton College,College,"213 Nicholson St, Footscray VIC 3011, Australia",Maribyrnong,Footscray,https://www.google.com/maps/search/?api=1&query=Ashton%20College&query_place_id=ChIJo3icaoxd1moRmp1WOYf3Q7Q,https://www.ashtoncollege.edu.au/,,+61 3 9017 6128,-37.803702,144.899139,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,132.0,4.7
Food & drink,ACES | Australian Commercial Equipment Solutions,Kitchen supply store,"35 Kiel Cl, Kilsyth VIC 3137, Australia",Yarra Ranges,Kilsyth,https://www.google.com/maps/search/?api=1&query=ACES%20%7C%20Australian%20Commercial%20Equipment%20Solutions&query_place_id=ChIJ334CYhk71moRMG6j2JXSNsc,http://www.acesaus.com.au/,,+61 3 9761 1111,-37.8096618,145.3108614,False,9:30 AM to 5:30 PM,9:30 AM to 5:30 PM,9:30 AM to 5:30 PM,9:30 AM to 5:30 PM,9:30 AM to 5:30 PM,Closed,Closed,,,,,,True,True,True,,,44.0,4.8
Shopping,Eastern Commercial Furniture & Healthcare Furniture Australia,Office furniture store,"1F Marine Parade, Abbotsford VIC 3067, Australia",Yarra,Abbotsford,https://www.google.com/maps/search/?api=1&query=Eastern%20Commercial%20Furniture%20%26%20Healthcare%20Furniture%20Australia&query_place_id=ChIJ9bHcywND1moRAXhxSN5Rew0,http://ecf.com.au/,,+61 3 9818 5444,-37.8033609,144.9985965,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,7.0,5.0
Services,"Jones & Co Collection | Corporate Hospitality, Travel & Brand Representation",Branding agency,"Level 2/60 Burwood Rd, Hawthorn VIC 3122, Australia",Boroondara,Hawthorn,https://www.google.com/maps/search/?api=1&query=Jones%20%26%20Co%20Collection%20%7C%20Corporate%20Hospitality%2C%20Travel%20%26%20Brand%20Representation&query_place_id=ChIJac14AElC1moR-nW3eY2lPJU,http://jonesandco.travel/,,+61 3 9810 3580,-37.8215755,145.0245134,False,,,,,,,,,,,,,,,,,,4.0,4.8
Shopping,Petstock Hoppers Crossing,Pet store,"431 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",Wyndham,Hoppers Crossing,https://www.google.com/maps/search/?api=1&query=Petstock%20Hoppers%20Crossing&query_place_id=ChIJW-w8UfuI1moRIIrrJiKkel8,https://www.petstock.com.au/store/petstock-hoppers-crossing-3034?utm_term=plcid_2742953469081805341,,+61 3 9369 9955,-37.8685137,144.7305521,False,8 AM to 6:30 PM,8 AM to 6:30 PM,8 AM to 6:30 PM,8 AM to 6:30 PM,8 AM to 6:30 PM,8:30 AM to 5:30 PM,9 AM to 5:30 PM,,,,,,True,True,True,,,1002.0,4.4
Automotive,Berwick BMW,BMW dealer,"6 Coventry Rd, Narre Warren VIC 3805, Australia",Casey,Narre Warren,https://www.google.com/maps/search/?api=1&query=Berwick%20BMW&query_place_id=ChIJN7LA4k0R1moRHbojimEYYJM,https://www.berwickbmw.com.au/,,+61 3 8763 4500,-38.0264026,145.3116343,False,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,9 AM to 5 PM,Closed,,,,,,True,True,True,,,1033.0,4.8
Education,Swiss Institute Australia,Educational institution,"Level 1, Suite 22/420 Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Swiss%20Institute%20Australia&query_place_id=ChIJ-fdPWCBd1moRI0hFdd4N7aU,https://www.swiss.edu.au/,,+61 3 4309 4084,-37.817029,144.9602963,False,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,Closed,Closed,,,,,,True,True,,,,1.0,5.0
Lodging,Melbourne Metropole Central Apartment Hotel,Hotel,"44 Brunswick St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Melbourne%20Metropole%20Central%20Apartment%20Hotel&query_place_id=ChIJyT6he9tC1moRMdlPDnQGmdg,http://www.metropolecentral.com.au/,,+61 3 9411 8100,-37.806269,144.9774785,False,,,,,,,,,,,,,,,,,,1173.0,4.2
Food & drink,Chaskah Truganina | Indian Restaurant | Function Hall | Bulk Food,Indian restaurant,"Unit 7/203 Palmers Rd, Truganina VIC 3029, Australia",Wyndham,Truganina,https://www.google.com/maps/search/?api=1&query=Chaskah%20Truganina%20%7C%20Indian%20Restaurant%20%7C%20Function%20Hall%20%7C%20Bulk%20Food&query_place_id=ChIJPXeWvUyJ1moRMYQxFd6dNHQ,http://www.chaskah.com.au/,,+61 3 9394 1165,-37.8386831,144.7455961,False,11 AM to 11 PM,Closed,11 AM to 11 PM,11 AM to 11 PM,11 AM to 11 PM,11 AM to 11 PM,11 AM to 11 PM,,True,,True,,True,True,True,True,True,1914.0,3.9
Food & drink,Tasty Food House,Halal restaurant,"13 Douglas St, Noble Park VIC 3174, Australia",Greater Dandenong,Noble Park,https://www.google.com/maps/search/?api=1&query=Tasty%20Food%20House&query_place_id=ChIJZyowPyoV1moRo8ktMdOPvLU,https://tastyfoodhouseonline.com.au/,,+61 447 194 020,-37.9657518,145.1739923,False,9 AM to 9 PM,Closed,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,,True,True,,,True,,True,,,211.0,4.8
Entertainment & recreation,Corporate Sports Unlimited | Premium Hospitality Packages. Book Your Sporting Moment Now!,Event planner,"276 Church St, Richmond VIC 3121, Australia",Yarra,Richmond,https://www.google.com/maps/search/?api=1&query=Corporate%20Sports%20Unlimited%20%7C%20Premium%20Hospitality%20Packages.%20Book%20Your%20Sporting%20Moment%20Now!&query_place_id=ChIJGcmcg7ZC1moRvI4IsEwSapQ,http://www.corporatesports.com.au/,,+61 3 9654 1445,-37.819578,144.998804,False,10 AM to 6 PM,10 AM to 6 PM,10 AM to 6 PM,10 AM to 6 PM,10 AM to 6 PM,Closed,Closed,,,,,,True,True,True,,,3.0,5.0
Health & wellness,Beau's Ranch,Massage therapist,,Kingston,,https://www.google.com/maps/search/?api=1&query=Beau's%20Ranch&query_place_id=ChIJC-1QW-FuamcRadHJAdfpdAE,https://www.beausbodyworks.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=325350868180931564,,+61 467 827 555,-37.9579086,145.0531353,False,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,,,True,,,,,,,,6.0,4.7
Food & drink,Wheelers Hill Hotel,Pub,"871-881 Ferntree Gully Rd, Wheelers Hill VIC 3150, Australia",Monash,Wheelers Hill,https://www.google.com/maps/search/?api=1&query=Wheelers%20Hill%20Hotel&query_place_id=ChIJBamtxik-1moRh1xtsqzWfIQ,https://www.wheelershillhotel.com.au/,,+61 3 9560 8922,-37.9065032,145.1901092,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,True,,,,True,True,True,True,True,2380.0,4.0
Food & drink,Hungry Caterpillar Cafe,Takeout Restaurant,"25/27 Cambria Rd, Keysborough VIC 3173, Australia",Greater Dandenong,Keysborough,https://www.google.com/maps/search/?api=1&query=Hungry%20Caterpillar%20Cafe&query_place_id=ChIJCUwTwIQT1moRZm0r-LPFNuo,,,+61 3 9769 1120,-37.99058,145.188703,False,5:30 AM to 3 PM,5:30 AM to 3 PM,5:30 AM to 3 PM,5:30 AM to 3 PM,5:30 AM to 3 PM,Closed,Closed,,,,,,,,,,,59.0,4.4
Business & manufacturing,Hospitality Furniture Wholesale,Furniture wholesaler,"5 Howleys Rd, Notting Hill VIC 3168, Australia",Monash,Notting Hill,https://www.google.com/maps/search/?api=1&query=Hospitality%20Furniture%20Wholesale&query_place_id=ChIJ37WSEdIV1moRbQkHrCxXIdw,,,+61 3 8628 5816,-37.9012001,145.137799,False,,,,,,,,,,,,,,,,,,,
Food & drink,Sandbelt Club Hotel,Pub,"630 South Rd, Moorabbin VIC 3189, Australia",Kingston,Moorabbin,https://www.google.com/maps/search/?api=1&query=Sandbelt%20Club%20Hotel&query_place_id=ChIJwYT6XQlr1moRzQJixfLMJWU,https://www.sandbelthotel.com.au/,,+61 3 9555 6899,-37.9382656,145.0682506,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,True,,True,,True,True,True,True,,877.0,4.4
Lodging,Marley + Finn Buses,Lodging,"Unnamed Road, Fitzroy North VIC 3068, Australia",Yarra,Fitzroy North,https://www.google.com/maps/search/?api=1&query=Marley%20%2B%20Finn%20Buses&query_place_id=ChIJcTDzPe1D1moRVC__GCoxeRc,,,+61 3 8638 6000,-37.7855531,144.9918683,False,,,,,,,,,,,,,,,,,,5.0,4.8
Food & drink,Beit al Kababjii,Takeout Restaurant,"Shop 19/100 Overton Rd, Williams Landing VIC 3027, Australia",Wyndham,Williams Landing,https://www.google.com/maps/search/?api=1&query=Beit%20al%20Kababjii&query_place_id=ChIJV27vxaqJ1moRkNiBCbqv_No,https://beitalkababjii.com.au/,,+61 3 9973 9156,-37.8672171,144.7430381,False,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,False,True,True,,,True,True,True,True,,350.0,4.4
Lodging,Fitzroy Private Rooms @ 132 Nicholson Homestay,Hotel,"132/134 Nicholson St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Fitzroy%20Private%20Rooms%20%40%20132%20Nicholson%20Homestay&query_place_id=ChIJ8ZmEVaRD1moRGWEjqlD13qE,https://fitzroyprivatehomestay.hotels-melbourne.net/,,+61 403 215 314,-37.8015813,144.9745343,False,,,,,,,,,,,,,,,,,,155.0,4.7
Food & drink,"The Warburton Hotel, Wesburn - Bar & Bistro (The West)",Pub,"2882 Warburton Hwy, Wesburn VIC 3799, Australia",Yarra Ranges,Wesburn,https://www.google.com/maps/search/?api=1&query=The%20Warburton%20Hotel%2C%20Wesburn%20-%20Bar%20%26%20Bistro%20(The%20West)&query_place_id=ChIJEVme58nSKWsRYdP0E6tGb5k,https://www.warburtonhotel.com.au/,,+61 3 5967 1090,-37.7663841,145.64505,False,Closed,Closed,12 to 8:30 PM,12 to 8:30 PM,12 to 8:30 PM,12 to 8:30 PM,12 to 8:30 PM,,True,True,True,,True,True,True,True,True,632.0,4.4
Lodging,The Waverley International Hotel,Hotel,"301 Springvale Rd, Glen Waverley VIC 3150, Australia",Monash,Glen Waverley,https://www.google.com/maps/search/?api=1&query=The%20Waverley%20International%20Hotel&query_place_id=ChIJ9cvVMcE_1moRQvmNb_qsa98,https://www.waverleymelbourne.com/,,+61 3 9560 3311,-37.8835292,145.1643477,False,,,,,,,,,,,,,,,,,,576.0,4.1
Shopping,Sportsco,Sportswear store,"Shop 221 Heaths Rd, Werribee VIC 3030, Australia",Wyndham,Werribee,https://www.google.com/maps/search/?api=1&query=Sportsco&query_place_id=ChIJUyZl7lyP1moRRX939JXCh60,http://www.sportsco.com.au/,,+61 3 9748 7649,-37.8759816,144.6805446,False,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 5 PM,10 AM to 5 PM,,,,,,True,True,True,,,77.0,3.8
Business & manufacturing,Ecco Enterprises,Corporate office,"64 Beaconsfield Ln, Albert Park VIC 3206, Australia",Port Phillip,Albert Park,https://www.google.com/maps/search/?api=1&query=Ecco%20Enterprises&query_place_id=ChIJcYitTsJn1moRq37Ssuce810,http://eccoenterprises.com.au/,,+61 413 800 303,-37.8462839,144.9464314,False,,,,,,,,,,,,,,,,,,1.0,1.0
Food & drink,Roccella Italian Restaurant Bundoora,Italian restaurant,"t1/5 Janefield Dr, Bundoora VIC 3083, Australia",Whittlesea,Bundoora,https://www.google.com/maps/search/?api=1&query=Roccella%20Italian%20Restaurant%20Bundoora&query_place_id=ChIJqUdseABJ1moRDPXwhsP3zng,https://www.roccellamelbourne.com.au/?utm_source=GMB&utm_medium=traffic&utm_campaign=direct&utm_term=website+home,,+61 3 9970 7111,-37.6823933,145.070346,False,7:30 AM to 8:30 PM,7:30 AM to 8:30 PM,7:30 AM to 8:30 PM,7:30 AM to 8:30 PM,7:30 AM to 9 PM,8 AM to 9 PM,8 AM to 8:30 PM,False,True,True,,,True,True,True,True,True,671.0,4.6
Shopping,BWS Thrift Park,Liquor store,"Shop 1/171 Nepean Hwy, Mentone VIC 3194, Australia",Kingston,Mentone,https://www.google.com/maps/search/?api=1&query=BWS%20Thrift%20Park&query_place_id=ChIJwTbZZLNt1moRj0lB8AeI4ek,https://bws.com.au/storelocator/VIC-Thrift-Park-3661,,+61 3 8551 8713,-37.9840012,145.0771335,False,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,10 AM to 8 PM,,,,,,True,True,True,,,67.0,3.8
Education,Icon Hospitality Group,Hospitality and tourism school,"Shop 1/195 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Icon%20Hospitality%20Group&query_place_id=ChIJ2Y4IGLZC1moRwwoYXXOiZF0,http://iconhospitalitygroup.com.au/,,,-37.8148138,144.968055,False,,,,,,,,,,,,,,,,,,,
Automotive,Western Highway Honda,Honda dealer,"1 Eucumbene Dr, Ravenhall VIC 3023, Australia",Melton,Ravenhall,https://www.google.com/maps/search/?api=1&query=Western%20Highway%20Honda&query_place_id=ChIJ_V7mndmK1moRKZXDmdNW8rU,https://www.honda.com.au/honda-centre/western-highway-honda,,+61 3 9217 8680,-37.7574473,144.7404904,False,8:30 AM to 6 PM,8:30 AM to 6 PM,8:30 AM to 6 PM,8:30 AM to 6 PM,8:30 AM to 6 PM,8:30 AM to 6 PM,10 AM to 5 PM,,,,,,True,True,True,,,2727.0,4.7
Food & drink,Kathmandu Momo and Curry House - Preston Nepalese and Indian Restaurant,Nepalese restaurant,"523 High St, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=Kathmandu%20Momo%20and%20Curry%20House%20-%20Preston%20Nepalese%20and%20Indian%20Restaurant&query_place_id=ChIJn4ACQP9E1moRp8nATsOnHZA,https://kathmandumomoandcurryhouse.com.au/,,+61 3 9470 4700,-37.7364874,145.0040971,False,3 to 10 PM,Closed,3 to 10 PM,3 to 10 PM,3 to 10 PM,1 to 10 PM,1 to 10 PM,,True,,,,,,,,,280.0,4.1
Food & drink,Ecotel Melbourne Pty Ltd,Bakery equipment,"218-222 Nicholson St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Ecotel%20Melbourne%20Pty%20Ltd&query_place_id=ChIJi9LFdORD1moROd_4zqmfzXc,https://www.ecotel.asia/,,+61 3 9193 4325,-37.7984998,144.9750553,False,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,Closed,Closed,,,,,,,,,,,15.0,3.9
Other,Kabul Reception,Function room facility,"8 Raylee Pl, Lynbrook VIC 3975, Australia",Casey,Lynbrook,https://www.google.com/maps/search/?api=1&query=Kabul%20Reception&query_place_id=ChIJ7X4weQAR1moRgz6rKpSH0q8,,,+61 468 632 326,-38.0393197,145.2477718,False,,,,,,,,,,,,,True,True,True,True,,38.0,3.9
Food & drink,Monash Hotel,Pub,"2077 Dandenong Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Monash%20Hotel&query_place_id=ChIJ3_TF0NJq1moRIVAqEOzM5pA,https://www.monashhotel.com.au/,,+61 3 9544 8011,-37.9199293,145.1377489,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,,,True,True,True,True,True,True,,631.0,4.2
Food & drink,Maniac Kitchen,Takeout Restaurant,"743 Pascoe Vale Rd, Glenroy VIC 3046, Australia",Merri-Bek,Glenroy,https://www.google.com/maps/search/?api=1&query=Maniac%20Kitchen&query_place_id=ChIJg_Ba2aRb1moRKGnT8y-DGOE,,,+61 478 152 299,-37.7064533,144.9158635,False,Closed,5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 10 PM,,True,True,,,,,,,,73.0,4.9
Food & drink,The Merchants Guild,Cafe,"680 Centre Rd, Bentleigh East VIC 3165, Australia",Glen Eira,Bentleigh East,https://www.google.com/maps/search/?api=1&query=The%20Merchants%20Guild&query_place_id=ChIJpQHAGudr1moRFHl5j86wjik,http://themerchantsguild.com/,,+61 3 9579 0734,-37.9209685,145.0568076,False,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7:30 AM to 3 PM,8 AM to 3 PM,,,,,,True,True,,,True,745.0,4.3
Services,Hospitality Equipment Service PTY Ltd.,Equipment rental agency,"3-4 Serenity Ct, Pearcedale VIC 3912, Australia",Casey,Pearcedale,https://www.google.com/maps/search/?api=1&query=Hospitality%20Equipment%20Service%20PTY%20Ltd.&query_place_id=ChIJ1_NfpxgJ1moR2mAkRtBVbBU,,,+61 3 5978 5444,-38.1756007,145.2636697,False,,,,,,,,,,,,,True,True,True,,,,
Health & wellness,Beau's Ranch,Massage therapist,,Kingston,,https://www.google.com/maps/search/?api=1&query=Beau's%20Ranch&query_place_id=ChIJC-1QW-FuamcRadHJAdfpdAE,https://www.beausbodyworks.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=325350868180931564,,+61 467 827 555,-37.9579086,145.0531353,False,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,,,True,,,,,,,,6.0,4.7
Automotive,TYREPLUS Clyde North,Tire shop,"17 Argon Circuit, Clyde North VIC 3978, Australia",Casey,Clyde North,https://www.google.com/maps/search/?api=1&query=TYREPLUS%20Clyde%20North&query_place_id=ChIJZYarNCzt1moR551rHQSsmtE,https://www.tyreplus.com.au/tyre-shop/clyde-north/tyreplus-clyde-north?utm_source=Google&utm_medium=organic&utm_campaign=Uberall_GBP&utm_content=LDS&utm_term=Uberall_GBP,,+61 3 8753 6626,-38.09004,145.33449,False,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,9 AM to 7 PM,,,True,,,True,True,True,,,65.0,4.6
Food & drink,Lumas Hospitality Supplies,Restaurant supply store,"1663 Centre Rd, Springvale VIC 3171, Australia",Greater Dandenong,Springvale,https://www.google.com/maps/search/?api=1&query=Lumas%20Hospitality%20Supplies&query_place_id=ChIJ-8SR-tcU1moRt6fbIJysJcU,https://www.lumashospitality.com.au/,,+61 3 8555 9926,-37.931964,145.147973,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,24.0,4.3
Shopping,Hotel Agencies,Countertop store,"298 Nicholson St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Hotel%20Agencies&query_place_id=ChIJhQGFAydD1moRgd3_5ry1giU,https://hotelagenciesrestaurantsupplies.com.au/,,+61 3 9411 8888,-37.7961425,144.9754638,False,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,9 AM to 1:30 PM,Closed,,,,,,True,True,True,,,191.0,4.8
Education,Icon Hospitality Group,Hospitality and tourism school,"Shop 1/195 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Icon%20Hospitality%20Group&query_place_id=ChIJ2Y4IGLZC1moRwwoYXXOiZF0,http://iconhospitalitygroup.com.au/,,,-37.8148138,144.968055,False,,,,,,,,,,,,,,,,,,,
Food & drink,The Grain Emporium - Retail,Bakery,"318 Clayton Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=The%20Grain%20Emporium%20-%20Retail&query_place_id=ChIJjSDwXyFr1moRPZzP8kLIRFU,http://www.thegrainemporium.com.au/,,+61 3 9544 2025,-37.9263379,145.1196477,False,6:30 AM to 4:30 PM,6:30 AM to 4:30 PM,6:30 AM to 4:30 PM,6:30 AM to 4:30 PM,6:30 AM to 4:30 PM,7 AM to 4 PM,8 AM to 1:30 PM,,,,,,True,True,True,,,258.0,4.5
Business & manufacturing,GIAN Group,Corporate office,"Unit 3/2 Brandon Park Dr, Wheelers Hill VIC 3150, Australia",Monash,Wheelers Hill,https://www.google.com/maps/search/?api=1&query=GIAN%20Group&query_place_id=ChIJnytfr9oL1moRZkEliiVlh7g,http://www.giangroup.com.au/,,+61 1300 004 426,-37.9045945,145.1644028,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,Closed,Closed,,,,,,True,True,True,True,,,
Food & drink,N&M Catering and Event Party Hire,Caterer,"1/16 McDougall Rd, Sunbury VIC 3429, Australia",Hume,Sunbury,https://www.google.com/maps/search/?api=1&query=N%26M%20Catering%20and%20Event%20Party%20Hire&query_place_id=ChIJK0BL6ef51moRR401sQgPd9c,http://www.nmcatering.com.au/,,+61 3 9740 7283,-37.5897046,144.7182983,False,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,,,,,,True,True,True,,,87.0,4.8
Entertainment & recreation,The Manor on High,Wedding venue,"519 High St, Epping VIC 3076, Australia",Whittlesea,Epping,https://www.google.com/maps/search/?api=1&query=The%20Manor%20on%20High&query_place_id=ChIJhUhuhORO1moRaoVwo6mLwbA,https://www.manoronhigh.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp_listing,,+61 3 9401 3111,-37.6576846,145.0189774,False,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 12 AM,10 AM to 12 AM,,True,True,,,True,True,True,True,,574.0,4.4
Food & drink,Roccella Italian Restaurant East Melbourne,Italian restaurant,"158 Clarendon St, East Melbourne VIC 3002, Australia",Melbourne,East Melbourne,https://www.google.com/maps/search/?api=1&query=Roccella%20Italian%20Restaurant%20East%20Melbourne&query_place_id=ChIJiWZcQlZD1moReLf1KVvQ98M,https://www.roccellamelbourne.com.au/?utm_source=GMB&utm_medium=traffic&utm_campaign=direct&utm_term=website+home,,+61 3 9416 1700,-37.8119728,144.9835404,False,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 9 PM,8 AM to 9 PM,8 AM to 8:30 PM,,,,,,True,True,True,True,True,2938.0,4.8
Food & drink,Times Berwick,Modern Australian restaurant,"13/84 Bemersyde Dr, Berwick VIC 3806, Australia",Casey,Berwick,https://www.google.com/maps/search/?api=1&query=Times%20Berwick&query_place_id=ChIJg3-YxWsb1moRLgttV2weYsg,https://timesberwick.com.au/,,+61 3 8796 3883,-38.0558822,145.3469228,False,"11:30 AM to 3 PM, 5 to 9 PM","11:30 AM to 3 PM, 5 to 9 PM","11:30 AM to 3 PM, 5 to 9 PM","11:30 AM to 3 PM, 5 to 9 PM",11:30 AM to 10 PM,11:30 AM to 10 PM,11:30 AM to 9 PM,,True,True,,,True,True,True,True,True,1308.0,4.7
Lodging,Punthill Apartment Hotels | Caroline Springs,Hotel,"1/7 Caroline Springs Blvd, Caroline Springs VIC 3023, Australia",Melton,Caroline Springs,https://www.google.com/maps/search/?api=1&query=Punthill%20Apartment%20Hotels%20%7C%20Caroline%20Springs&query_place_id=ChIJF2mqVr_11moRbK_AnewksHc,https://punthill.com.au/hotels/punthill-caroline-springs,,+61 3 8362 8100,-37.7538381,144.7395815,False,,,,,,,,,,,,,,,,,,251.0,4.2
Other,Hadi Hospitality,,"Unit 9/11 Friars Rd, Moorabbin VIC 3189, Australia",Kingston,Moorabbin,https://www.google.com/maps/search/?api=1&query=Hadi%20Hospitality&query_place_id=ChIJGz1mIw9s1moR9ZBoQ-aDfrA,https://hadihospitality.com.au/contact/,,+61 425 833 264,-37.9452675,145.0625325,False,,,,,,,,,,,,,,,,,,,
